ID,TokenizedWords,TimeStamp
1601381851570262016,"['xaf', 'covid', 'xaa', 'tom', 'xad', 'xac', ""b'rt"", 'xbd', 'xab', 'xbe', 'crsv', 'nhttps', 'tomtom', 'xba', 'xae']",2022-12-10 01:02:40
1601381853717762048,"['minneapolis', ""b'hey"", 'concert', 'interested', 'guys', 'tickets', 'armory', 'got', 'covid', 'dec', 'nif', 'tour', 'won', 'send', 'best', 'making', 'selling']",2022-12-10 01:02:40
1601381855785164802,"['pancakes', 'cara', 'sorry']",2022-12-10 01:02:41
1601381854707601408,"['que', 'quien', 'ahora', 'cree', 'tramando', 'volvamos', 'mano', 'est', 'condenada', 'holandeses', ""b'rt"", 'lanamontalban', 'los', 'realidad', 'ganaron', 'nlevante']",2022-12-10 01:02:41
1601381852492615681,"['estados', 'hoy', 'unidos', 'bivalente', 'covid', 'vacuna', 'uso', 'todos', 'del', 'para', ""b'rt"", 'los', 'refuerzo', 'autoriz', 'doctormacias', 'incluyendo', 'fda']",2022-12-10 01:02:40
1601381853008580608,"['https', 'cnn']",2022-12-10 01:02:40
1601381855621574662,"['tiffanyandsadie', 'nope', 'didn', 'trust', 'covid']",2022-12-10 01:02:41
1601381855684874241,"['pretty', 'covid', 'infections', 'seeing', ""b'rt"", 'reminds', 'reinfections', 'testing', 'time', 'pafournier', 'today', 'people']",2022-12-10 01:02:41
1601381852547149824,"['syndrome', 'putrinolab', 'cfs', 'mcas', 'cell', ""b'rt"", 'microclots', 'inflammatory', 'like', 'activation', 'diabetes', 'wtf', 'conditions', 'mast', 'occur']",2022-12-10 01:02:40
1601381853336068096,"['events', 'effects', 'cease', 'shmatteduck', 'vancitydocc', 'historyinpics', 'wow', 'amberauriana', 'mean', 'occur', 'long']",2022-12-10 01:02:40
1601381853461909504,"['https', 'hell', ""b'i"", 'oddlkpv', 'hope', 'mofos', 'rot']",2022-12-10 01:02:40
1601381853541593090,"['billion', 'gave', 'covid', 'english', 'doesn', 'sunak', 'man', 'wrote', 'away', 'otto', 'rishi', 'literally', 'fraud', 'clue']",2022-12-10 01:02:40
1601381857970774017,"['managed', 'oversaw', 'scotgov', 'brilliant', 'deserved', 'life', 'savin', ""b'rt"", 'team', 'nicolasturgeon', 'thoroughly', 'nhsnss', 'accolade']",2022-12-10 01:02:41
